SampleID,qPCR16S
1366D,187069404.2
1366E,90093210.32
1366F,59661809.52
1366G,8596080.06
1366H,128328510.3
1366I,95233669.84
1366J,172172584.8
1366K,44441562.26
1366L,18255679.93
1366M,150522858.2
1366N,65268675.21
1366O,23544687.5
1366P,108392705.1
1366Q,89889678.61
1366R,76447886.28
1366S,212612340.6
1366T,222551075.3
1366V,89647639.81
1366W,24565739.9
1366X,230462163.9
1371A,145719635.6
1371B,43937273.55
1371C,72321133.88
1371D,56664.27353
1371H,94443.62478
1372A,5291955.859
1372B,380090.1927
1372D,363602.0389
1372E,959155.9206
1372I,2356883.333
1372J,1001606.764
1372K,570627.7492
1372L,782466.3748
1372N,65223489.56
1372O,108123785.9
1372P,35664083.62
1372Q,36543451.03
1372R,67786167.4
1372S,445194136.2
1372T,72760174.07
1379F,12153082.99
1379I,6327508.594
1379J,137868.0128
1379K,4823934.63
1379M,255500.7893
1379N,1645364.549
1379O,1420509.547
1381A,83384480.29
1381B,82022934.75
1381C,45048320.21
1381D,29173408.26
1381E,5427070.188
1381F,37759209.61
1381G,136162046.4
1381H,127271091.5
1393A,280983946.7
1393B,254179487.2
1393C,140244659.6
1393D,21308167.96
1393E,151156595.4
1393F,79509950.39
1393G,36651456.79
1393H,6371997.761
1393I,2672008.201
1393J,1397651.627
1393L,1091848.021
1393M,410165.8236
1400A,28956955.26
1400B,80510672.46
1400C,60358282.05
1400D,69419658.23
1400E,281385338.4
1400H,145443238.1
1400I,111957977.7
1400J,89020594.87
1400K,69596506.43
1400M,48757756.58
1400N,24279764.71
1400O,41855357.51
1400P,137041412.3
1400Q,221125523
1400R,282029665.1
1400S,167192784.8
1403A,26869530.17
1403B,20829229.17
1403C,27612135.92
1403D,1673176.898
1403E,112084.7076
1403F,4063121.262
1403G,550702.3737
1403H,21150170.47
1403I,48188869.5
1403J,9019.910592
1403K,6812368.155
1403L,2026860.806
1404A,71564924.35
1404D,28802965.84
1404E,7167321.023
1404F,3876958.144
1406A,42925379.73
1406B,207511.5523
1406C,207778.394
1406D,1315054.287
1406E,222475.8077
1406G,613940.7216
1406H,113445.4287
1406I,376519.0099
1406J,182949.91
1406K,193715.5708
1406L,100467.3585
1406N,13573921.81
1406O,50651712.94
1407E,296591351.1
1407X,12135.87805
1407Y,182379872.8
1414A,33739813.88
1414B,34719354.37
1414C,66546227.6
1414D,53579862.18
1414E,39462861.93
1414F,17001506.11
1414G,6615824.093
1414H,17882056.51
1414I,296948.4805
1414J,224443739.6
1419A,239311751.1
1419B,863586862.3
1421B,128263356.2
1426A,2441152.676
1426B,568777.3142
1426C,974986.1506
1426D,1300952.348
1428A,73805508.47
1428AA,62832293.5
1428B,202925475.5
1428BB,14539061.62
1428C,136409867.4
1428CC,355698394.6
1428D,54963817.59
1428DD,56181214.99
1428E,159481979.1
1428EE,31859343.4
1428F,89831384.3
1428G,63103922.62
1428H,13344238.7
1428I,3912437.685
1428K,54977597.22
1428L,18028000.74
1428M,84828652.74
1428N,7747655.983
1428O,14679250.69
1428P,44532386.55
1428Q,99382045.5
1428R,30495691.02
1428S,59886240.33
1428T,185927094.5
1428U,107043370
1428V,64342384.49
1428W,99755183.41
1428X,60579391.14
1428Y,86244474.75
1428Z,125048982.8
1432A,546012492.3
1432B,78995.80169
1432C,76486431.18
1432D,245156179
1432F,371101683
1432G,209639204.6
1432H,230784703.2
1432I,425017272.5
1432J,328356252.7
1432K,825878296.3
1432L,792457180.3
1432M,393330186.8
1432N,368563563
1432O,421137526
1435B,180395934.4
1435F,152124484.6
1435G,607246375.5
1437AA,620075305.8
1437BB,2720349884
1437X,182359719.3
1437Y,238425387.8
1437Z,1018586567
1438E,296978840.5
1438F,22935857.37
1438G,8353781995
1442A,33232683
1442B,206504980.3
1442C,62824219.21
1442D,368497007.4
1442E,292495893.3
1442F,249264380.1
1442G,172641998.6
1442H,32286918.47
1442I,16499.32671
1442J,25685164.33
1442K,5812772.65
1442L,7640968.79
1442M,43019459.35
1442N,93069085.11
1443A,973785566.5
1443B,800960833
1443C,345393534.2
1443D,185818537.5
1443E,51210115.56
1443G,2712076.404
1443H,29348861.75
1445A,30277254.63
1449G,55730335.35
1460A,285408808.8
1460B,214364015.2
1460C,179358055
1460D,143396882.4
1461A,161647616.3
1461B,160384323.7
1461C,73994346.06
1462A,179945524.8
1468A,11527901.91
1469I,1229656694
1469J,42597170.75
1471K,3058085173
1472H,15463547.62
1472I,40979779.04
1472J,132901718.9
1472K,3470236950
1481A,5.536674703
1481B,52274879.25
1481F,0
1481G,0
1481P,1092706829
1481V,519971420.3
1481W,1268636468
1481Y,943322961
1481Z,86759524.93
1492A,0
1492C,321398142.2
1496A,272494913.2
1496H,315978145.5
1557AA,72262947.67
1557B,39164449.38
1557BB,26864810.91
1557FF,94879661.8
1557GG,1117463456
1557HH,682807837.7
1557S,31576.82869
1579C,37825083.33
1579D,170610.3697
1580A,39979616.58
1580B,27317087.51
1580C,17370012.47
1580D,5609007.118
1580E,195411.1074
1580F,108702.4623
1580H,532061.5188
1580I,296092.55
1580J,632484.4785
1580K,699719.7235
1580L,544369.1265
1580M,777934.085
1606A,112056137.7
1606C,32080452.72
1606D,9445166.667
1606E,9627035.856
1606F,1492969.731
1606G,16305809.57
1609C,3118862259
1630A,12739418.83
1630B,1288195.686
1630C,11019.12456
1630D,2719812.092
1630E,1767165.22
1630F,8371572.373
1630G,20551588.98
1630H,16029678.99
1630I,24917797.58
1630J,24678024.08
1630K,22692206.85
1630L,2.840229086
1630M,9981927.629
1630N,25790580.17
1636B,315055874.1
1636E,879939139.2
1636F,59285123.64
1641B,734416074.6
1641C,2770233955
1653B,66393872.25
1653C,2900727499
1671K,17337415.65
1671L,18581412.05
1671M,133121.4212
1671N,682416.2941
1671O,508058.6015
1671P,12636765.13
1671Q,21612825.81
1671R,98256375.33
1671S,49273.44194
1671T,12273.45508
1704B,2465682721
1718A,4907845.942
1718B,67745711.11
1718C,1088621037
1721A,1548804.772
1721B,50546162.04
1721C,36782360.56
1721E,11350384.81
1721F,26321682.25
1721G,22036487.53
1721H,14049512.15
1721I,15106784.15
1721J,18327870.85
1757B,86432343.12
1757C,23039394.13
1757D,9942635.319
1757E,11585394.39
1757F,445950.2674
1757G,731897.494
